0,6,Christinamouth City beat Navarroview FC,1
2,6,Navarroview FC beat Christinamouth City,2
6,1,Navarroview FC beat East Regina Athletic,3
6,1,East Regina Athletic beat Navarroview FC,4
3,4,East Stevetown Athletic beat Navarroview FC,5
2,5,Navarroview FC beat East Stevetown Athletic,6
0,4,New Amanda FC beat Navarroview FC,7
1,1,Tied Game,8
6,3,Navarroview FC beat East Jason Athletic,9
6,3,East Jason Athletic beat Navarroview FC,10
1,3,Walterhaven United beat Navarroview FC,11
3,2,Walterhaven United beat Navarroview FC,12
2,1,Navarroview FC beat Santiagoborough United,13
4,1,Santiagoborough United beat Navarroview FC,14
3,0,Navarroview FC beat Woodstad United,15
1,3,Navarroview FC beat Woodstad United,16
2,2,Tied Game,17
4,1,New Bradley United beat Navarroview FC,18
3,5,Calebton FC beat Navarroview FC,19
5,5,Tied Game,20
6,4,Navarroview FC beat Rebeccaport FC,21
2,5,Navarroview FC beat Rebeccaport FC,22
1,4,Charlesberg City beat Navarroview FC,23
1,5,Navarroview FC beat Charlesberg City,24
5,2,Navarroview FC beat North Damon Athletic,25
0,5,Navarroview FC beat North Damon Athletic,26
1,1,Tied Game,27
2,0,Andersonland FC beat Navarroview FC,28
4,6,Marialand City beat Navarroview FC,29
1,2,Navarroview FC beat Marialand City,30
6,5,Navarroview FC beat Elliottmouth City,31
3,2,Elliottmouth City beat Navarroview FC,32
0,0,Tied Game,33
2,5,Navarroview FC beat Port Andrewview United,34
2,5,South Martin City beat Navarroview FC,35
0,0,Tied Game,36
0,6,Ricestad Athletic beat Navarroview FC,37
2,5,Navarroview FC beat Ricestad Athletic,38
3,0,Navarroview FC beat Mckaychester Athletic,39
5,2,Mckaychester Athletic beat Navarroview FC,40
5,3,Navarroview FC beat East Lauraport City,41
1,6,Navarroview FC beat East Lauraport City,42
4,4,Tied Game,43
0,6,Navarroview FC beat West Saraton Athletic,44
0,5,West Aaronshire FC beat Navarroview FC,45
4,6,Navarroview FC beat West Aaronshire FC,46
0,2,South Nancyborough City beat Navarroview FC,47
2,2,Tied Game,48
0,1,Ryanville FC beat Navarroview FC,49
2,3,Navarroview FC beat Ryanville FC,50
2,2,Tied Game,51
2,2,Tied Game,52
5,1,Navarroview FC beat North Kristen FC,53
1,5,Navarroview FC beat North Kristen FC,54
6,4,Navarroview FC beat New David FC,55
2,6,Navarroview FC beat New David FC,56
3,6,Harrismouth City beat Navarroview FC,57
3,2,Harrismouth City beat Navarroview FC,58
2,6,Dawnville United beat Navarroview FC,59
5,6,Navarroview FC beat Dawnville United,60
5,6,West Justin United beat Navarroview FC,61
3,5,Navarroview FC beat West Justin United,62
1,2,East Regina Athletic beat Christinamouth City,63
0,5,Christinamouth City beat East Regina Athletic,64
1,6,East Stevetown Athletic beat Christinamouth City,65
3,3,Tied Game,66
4,3,Christinamouth City beat New Amanda FC,67
1,5,Christinamouth City beat New Amanda FC,68
3,4,East Jason Athletic beat Christinamouth City,69
0,3,Christinamouth City beat East Jason Athletic,70
4,5,Walterhaven United beat Christinamouth City,71
2,3,Christinamouth City beat Walterhaven United,72
5,4,Christinamouth City beat Santiagoborough United,73
3,5,Christinamouth City beat Santiagoborough United,74
3,4,Woodstad United beat Christinamouth City,75
5,0,Woodstad United beat Christinamouth City,76
2,5,New Bradley United beat Christinamouth City,77
1,6,Christinamouth City beat New Bradley United,78
5,2,Christinamouth City beat Calebton FC,79
6,2,Calebton FC beat Christinamouth City,80
3,5,Rebeccaport FC beat Christinamouth City,81
3,0,Rebeccaport FC beat Christinamouth City,82
4,3,Christinamouth City beat Charlesberg City,83
6,1,Charlesberg City beat Christinamouth City,84
6,1,Christinamouth City beat North Damon Athletic,85
2,6,Christinamouth City beat North Damon Athletic,86
1,5,Andersonland FC beat Christinamouth City,87
5,1,Andersonland FC beat Christinamouth City,88
4,0,Christinamouth City beat Marialand City,89
5,5,Tied Game,90
3,4,Elliottmouth City beat Christinamouth City,91
1,3,Christinamouth City beat Elliottmouth City,92
4,0,Christinamouth City beat Port Andrewview United,93
1,2,Christinamouth City beat Port Andrewview United,94
0,6,South Martin City beat Christinamouth City,95
2,2,Tied Game,96
0,5,Ricestad Athletic beat Christinamouth City,97
5,0,Ricestad Athletic beat Christinamouth City,98
6,6,Tied Game,99
4,5,Christinamouth City beat Mckaychester Athletic,100
1,5,East Lauraport City beat Christinamouth City,101
1,6,Christinamouth City beat East Lauraport City,102
4,6,West Saraton Athletic beat Christinamouth City,103
0,1,Christinamouth City beat West Saraton Athletic,104
6,4,Christinamouth City beat West Aaronshire FC,105
4,2,West Aaronshire FC beat Christinamouth City,106
3,6,South Nancyborough City beat Christinamouth City,107
3,0,South Nancyborough City beat Christinamouth City,108
3,0,Christinamouth City beat Ryanville FC,109
3,1,Ryanville FC beat Christinamouth City,110
4,6,Robertside Athletic beat Christinamouth City,111
2,6,Christinamouth City beat Robertside Athletic,112
3,3,Tied Game,113
3,0,North Kristen FC beat Christinamouth City,114
2,6,New David FC beat Christinamouth City,115
2,1,New David FC beat Christinamouth City,116
