1,25,1,2,2023-12-17 20:35:43
2,77,2,1,2023-05-28 23:10:57
3,7,1,3,2023-01-29 20:14:44
4,99,3,1,2023-07-18 07:45:43
5,42,1,4,2023-03-20 08:11:24
6,86,4,1,2023-10-18 11:15:36
7,58,1,5,2023-06-30 01:15:12
8,82,5,1,2023-07-23 02:33:06
9,93,1,6,2023-05-28 00:37:33
10,91,6,1,2023-10-21 12:03:00
11,90,1,7,2023-07-31 13:44:15
12,15,7,1,2023-07-03 04:31:38
13,59,1,8,2023-10-23 07:57:21
14,17,8,1,2023-09-24 00:34:41
15,43,1,9,2023-03-31 03:11:15
16,55,9,1,2023-06-03 12:04:36
17,84,1,10,2023-11-21 22:14:15
18,60,10,1,2023-02-19 00:13:29
19,27,1,11,2023-01-14 11:30:06
20,25,11,1,2023-03-03 22:49:43
21,14,1,12,2023-04-25 10:56:23
22,34,12,1,2023-02-25 09:01:39
23,8,1,13,2023-03-03 04:24:31
24,26,13,1,2023-09-27 13:53:02
25,95,1,14,2023-12-30 00:44:24
26,23,14,1,2023-04-11 18:22:48
27,6,1,15,2023-08-26 15:13:35
28,67,15,1,2023-11-20 16:43:30
29,64,1,16,2023-04-17 11:07:09
30,75,16,1,2023-09-05 08:08:22
31,28,1,17,2023-11-19 08:51:58
32,57,17,1,2023-01-20 17:45:13
33,22,1,18,2023-01-19 20:05:13
34,16,18,1,2023-06-23 18:09:56
35,53,1,19,2023-02-10 21:08:02
36,29,19,1,2023-07-01 04:52:54
37,65,1,20,2023-07-20 01:50:50
38,96,20,1,2023-06-04 06:26:06
39,28,1,21,2023-05-15 02:18:29
40,40,21,1,2023-12-25 09:49:50
41,80,1,22,2023-08-02 15:59:57
42,74,22,1,2023-01-18 15:09:12
43,83,1,23,2023-05-20 23:58:13
44,54,23,1,2023-06-03 10:18:40
45,85,1,24,2023-05-17 11:15:13
46,57,24,1,2023-02-22 23:19:07
47,95,1,25,2023-12-02 22:57:50
48,12,25,1,2023-02-04 10:37:22
49,60,1,26,2023-12-25 12:22:47
50,59,26,1,2023-10-13 15:22:28
51,2,1,27,2023-02-15 22:57:46
52,2,27,1,2023-08-02 06:00:15
53,38,1,28,2023-05-15 02:58:17
54,79,28,1,2023-09-16 07:30:38
55,89,1,29,2023-04-18 21:40:57
56,53,29,1,2023-02-15 06:52:42
57,48,1,30,2023-07-13 23:22:55
58,25,30,1,2023-07-15 22:32:13
59,86,1,31,2023-11-18 15:29:45
60,94,31,1,2023-11-21 18:30:22
61,45,1,32,2023-12-02 22:08:14
62,57,32,1,2023-07-20 06:57:07
63,74,2,3,2023-08-22 10:20:56
64,89,3,2,2023-08-27 00:29:48
65,14,2,4,2023-11-13 01:58:24
66,16,4,2,2023-07-17 20:49:22
67,71,2,5,2023-07-04 15:28:10
68,54,5,2,2023-05-27 00:04:31
69,73,2,6,2023-08-26 00:20:15
70,57,6,2,2023-12-11 09:36:05
71,12,2,7,2023-01-06 17:42:37
72,85,7,2,2023-09-30 22:09:29
73,51,2,8,2023-06-30 09:42:55
74,93,8,2,2023-01-04 18:54:23
75,33,2,9,2023-07-22 17:20:30
76,10,9,2,2023-11-06 00:31:40
77,66,2,10,2023-09-16 04:24:47
78,49,10,2,2023-11-09 22:26:01
79,63,2,11,2023-11-21 15:42:58
80,19,11,2,2023-06-18 14:02:31
81,93,2,12,2023-09-22 09:49:36
82,59,12,2,2023-07-16 01:37:22
83,40,2,13,2023-02-11 01:12:14
84,64,13,2,2023-02-23 03:47:01
85,94,2,14,2023-10-31 22:47:13
86,42,14,2,2023-08-02 05:26:51
87,10,2,15,2023-06-11 13:17:41
88,11,15,2,2023-04-16 13:40:10
89,81,2,16,2023-06-14 11:46:40
90,59,16,2,2023-03-03 22:06:57
91,9,2,17,2023-08-13 15:24:37
92,74,17,2,2023-12-20 13:44:10
93,71,2,18,2023-08-16 17:35:39
94,74,18,2,2023-02-14 06:11:25
95,9,2,19,2023-05-04 00:11:24
96,24,19,2,2023-04-11 05:07:18
97,45,2,20,2023-06-13 18:30:13
98,39,20,2,2023-06-19 10:58:58
99,67,2,21,2023-02-20 18:50:11
100,49,21,2,2023-12-23 03:00:20
101,48,2,22,2023-09-12 02:33:56
102,100,22,2,2023-08-04 11:08:37
103,29,2,23,2023-07-02 08:45:04
104,3,23,2,2023-05-12 15:08:59
105,32,2,24,2023-09-07 02:13:24
106,49,24,2,2023-05-01 22:43:22
107,47,2,25,2023-10-08 16:30:13
108,49,25,2,2023-09-13 01:59:59
109,1,2,26,2023-03-06 10:48:27
110,22,26,2,2023-11-22 07:40:08
111,62,2,27,2023-11-04 06:39:18
112,26,27,2,2023-11-11 09:52:32
113,92,2,28,2023-03-16 00:54:42
114,83,28,2,2023-10-02 15:00:35
115,25,2,29,2023-12-09 20:33:54
116,62,29,2,2023-06-24 21:21:36
117,94,2,30,2023-12-25 06:56:18
118,22,30,2,2023-11-06 02:11:19
119,84,2,31,2023-03-13 12:57:25
120,43,31,2,2023-05-11 15:08:08
121,15,2,32,2023-02-15 16:33:54
122,48,32,2,2023-01-12 22:16:57
123,38,3,4,2023-01-12 09:14:50
124,24,4,3,2023-07-26 18:44:07
125,26,3,5,2023-08-19 15:02:05
126,95,5,3,2023-01-08 10:10:17
127,51,3,6,2023-07-28 17:11:12
128,24,6,3,2023-10-03 09:51:41
129,73,3,7,2023-01-29 19:24:53
130,30,7,3,2023-12-31 10:52:46
131,11,3,8,2023-12-29 05:24:04
132,55,8,3,2023-07-27 02:10:54
133,47,3,9,2023-06-20 14:49:38
