11,17192902.15,2016-12-30,2027-02-02
12,2803208.37,2023-06-30,2032-06-16
13,14830159.43,2018-01-13,2018-04-08
14,18722302.33,2021-10-31,2033-02-10
15,3880501.29,2021-09-10,2033-04-02
16,16596737.71,2015-03-03,2022-02-08
17,15711421.53,2022-01-12,2027-02-18
18,6773266.67,2014-10-04,2023-03-13
19,19512488.97,2017-04-19,2017-08-19
110,10410438.77,2019-03-02,2033-05-26
111,1311089.13,2021-11-14,2030-10-13
112,6894094.07,2020-05-11,2032-10-29
113,17058441.94,2019-01-24,2029-11-09
114,6450765.65,2020-08-27,2031-09-11
115,3382028.08,2021-07-31,2022-02-10
21,7093900.52,2014-02-23,2020-02-19
22,13565846.98,2019-04-04,2020-05-02
23,9447508.11,2020-07-12,2029-01-07
24,13434031.41,2022-09-15,2028-08-28
25,19763179.91,2018-02-18,2018-12-15
26,15292160.03,2015-03-01,2030-05-14
27,8726838.04,2021-02-03,2028-09-18
28,3089167.87,2017-01-01,2019-08-27
29,8023378.93,2023-10-09,2026-03-14
210,13740458.64,2017-09-13,2029-11-01
211,13507118.74,2014-03-08,2022-01-21
212,19785502.89,2015-08-27,2032-04-13
213,13943043.07,2021-06-06,2025-12-30
214,11793324.58,2019-12-08,2024-03-08
215,18643607.02,2018-05-31,2030-07-12
31,8464568.94,2023-09-29,2029-02-06
32,16142378.12,2015-11-30,2030-12-02
33,9042857.48,2022-05-28,2033-10-11
34,2281474.37,2018-04-18,2025-06-13
35,1905243.43,2015-04-06,2027-10-16
36,4841454.57,2018-08-31,2021-04-03
37,4882815.75,2020-08-26,2021-02-02
38,13832583.48,2015-10-06,2023-04-22
39,12826899.36,2023-09-06,2026-08-10
310,7674258.09,2017-04-19,2033-09-24
311,4343829.4,2023-08-13,2025-05-30
312,4515223.97,2021-03-03,2029-04-05
313,18707725.31,2016-09-01,2027-10-12
314,6777887.11,2022-05-06,2026-07-24
315,19149799.91,2018-08-18,2023-08-10
41,2887245.33,2016-09-05,2032-10-23
42,18170428.6,2014-12-12,2023-11-06
43,10434372.54,2014-02-26,2032-12-23
44,1606719.71,2020-11-24,2026-09-16
45,10774467.12,2018-09-08,2032-06-18
46,1162732.49,2019-07-22,2030-10-10
47,1042895.05,2014-02-17,2031-02-05
48,8391680.11,2016-09-29,2030-12-12
49,15811443.08,2019-10-15,2031-07-02
410,8372564.27,2015-10-01,2028-09-22
411,2470857.05,2020-12-05,2030-09-05
412,2794849.82,2018-02-11,2026-10-22
413,16950868.9,2015-02-28,2029-11-29
414,7768167.52,2022-01-09,2022-03-28
415,12989839.26,2020-05-18,2021-07-05
51,18377916.26,2016-02-19,2019-04-26
52,9170672.62,2019-08-07,2030-02-10
53,2598931.86,2015-11-10,2021-05-30
54,17287879.56,2022-09-19,2029-06-09
55,11152382.81,2019-02-15,2023-07-02
56,530240.96,2018-07-04,2029-06-16
57,9588192.57,2016-09-11,2029-09-03
58,8049848.71,2019-05-11,2026-05-14
59,8892138.13,2021-04-13,2030-08-10
510,1957790.73,2015-11-24,2016-06-26
511,7134764.14,2015-06-05,2019-08-17
512,17068900.73,2014-02-17,2025-11-21
513,11957405.02,2023-03-03,2027-08-08
514,2320089.98,2023-08-23,2032-01-07
515,6377560.14,2020-10-23,2032-02-07
61,16197349.93,2016-01-17,2019-08-10
62,3764102.28,2022-01-24,2027-10-04
63,9883595.63,2018-11-14,2033-01-05
64,11161500.17,2020-12-20,2026-04-10
65,12607066.8,2022-11-26,2029-01-03
66,5382758.07,2019-08-16,2024-05-02
67,583164.02,2014-06-29,2025-02-03
68,8214541.46,2021-03-13,2027-02-08
69,15827265.53,2020-02-11,2025-10-21
610,3189593.07,2014-01-07,2022-02-14
611,12921926.41,2023-04-06,2030-08-27
612,15486112.06,2019-11-21,2033-07-09
613,3218555.19,2016-08-13,2018-01-24
614,10949219.17,2023-02-03,2033-02-24
615,3884930.07,2019-05-02,2023-03-15
71,9226246.24,2023-01-18,2023-06-18
72,12835233.02,2014-02-21,2030-12-27
73,11127065.07,2021-11-07,2029-07-07
74,6102430.0,2016-04-12,2020-03-25
75,11876515.78,2016-08-29,2025-12-19
76,12240599.57,2021-03-03,2033-06-22
77,4655982.62,2016-03-12,2033-08-17
78,3142369.2,2015-08-02,2020-10-19
79,8240576.11,2019-07-07,2031-10-07
710,5069270.2,2016-09-10,2025-06-17
711,15342659.34,2016-01-09,2026-09-05
712,17195700.3,2023-03-16,2031-01-20
713,2015554.96,2020-04-20,2021-12-16
714,9465134.72,2014-02-05,2028-05-17
715,5677938.12,2017-03-05,2019-01-19
81,17880501.53,2017-12-12,2031-05-05
82,7671003.09,2017-11-30,2020-07-17
83,10341023.18,2020-01-22,2033-02-03
84,1499911.95,2018-09-01,2030-04-05
85,1668397.01,2014-04-20,2025-11-12
86,7387611.76,2018-11-25,2023-03-10
87,1465936.89,2019-06-20,2024-10-30
88,12296734.62,2019-09-15,2024-03-13
89,10744648.47,2022-03-27,2030-01-30
810,8015717.85,2015-11-09,2026-01-12
811,13473283.6,2014-10-22,2023-11-26
812,13078844.53,2020-06-06,2031-09-29
813,16904671.95,2022-01-06,2031-06-17
814,4224589.13,2016-09-12,2033-01-22
815,15476648.77,2020-08-04,2032-01-13
91,7949115.35,2021-01-15,2023-06-08
92,5478989.71,2015-09-22,2026-02-17
93,17730824.28,2019-07-03,2022-12-25
94,12981068.42,2021-04-21,2025-03-03
95,4544153.59,2021-03-12,2025-08-19
96,6590166.35,2014-01-01,2015-07-08
97,19579682.57,2018-04-19,2019-09-16
98,17022540.62,2019-08-13,2025-08-21
