11,0,19,9,0
12,2,3,3,1
13,1,5,6,1
14,2,3,2,0
15,3,5,3,1
16,1,3,8,2
17,0,16,2,2
18,0,12,1,2
19,5,0,5,2
110,5,0,9,0
111,0,0,2,0
112,7,0,1,1
113,1,5,7,1
114,0,9,4,1
115,6,0,0,2
21,0,11,8,1
22,2,5,2,0
23,0,5,6,2
24,2,5,9,0
25,2,5,10,1
26,0,3,10,2
27,0,5,9,1
28,0,13,2,1
29,5,0,3,2
210,4,0,9,2
211,0,0,8,2
212,6,0,0,1
213,4,0,9,1
214,4,0,6,0
215,0,2,8,1
31,0,15,9,2
32,1,4,10,0
33,2,2,6,0
34,0,4,2,2
35,3,4,2,2
36,1,5,2,1
37,0,11,1,2
38,0,7,7,2
39,2,0,0,1
310,2,0,2,0
311,1,0,9,1
312,8,0,9,0
313,0,7,6,2
314,0,15,7,1
315,2,3,2,0
41,0,18,10,0
42,2,2,4,0
43,0,3,4,1
44,3,4,1,2
45,3,2,9,0
46,1,3,9,1
47,0,10,0,0
48,0,14,7,2
49,4,0,8,1
410,0,0,4,0
411,5,0,4,0
412,12,0,10,2
413,3,0,10,2
414,0,0,6,0
415,0,13,4,2
51,0,10,7,1
52,3,2,10,0
53,1,2,5,1
54,3,5,4,1
55,0,3,8,0
56,3,5,8,2
57,0,9,1,1
58,0,17,3,0
59,4,0,6,0
510,5,0,4,1
511,5,0,2,0
512,7,0,3,0
513,0,7,3,2
514,0,10,1,2
515,0,8,5,1
61,0,11,2,1
62,2,3,7,1
63,1,5,10,1
64,2,2,5,1
65,3,2,4,1
66,3,4,8,1
67,0,15,0,2
68,0,6,9,1
69,1,0,10,2
610,3,0,4,2
611,1,0,2,0
612,9,0,0,1
613,12,0,8,1
614,0,5,3,0
615,5,0,5,1
71,0,10,0,0
72,0,3,4,1
73,2,2,0,2
74,2,3,2,0
75,1,5,9,0
76,1,3,8,2
77,0,13,5,2
78,0,6,5,2
79,2,0,8,2
710,0,0,1,1
711,0,0,4,0
712,5,0,5,2
713,0,17,5,2
714,1,0,7,2
715,2,3,8,1
81,0,9,0,2
82,3,2,4,1
83,2,4,6,1
84,0,3,4,2
85,2,5,4,2
86,3,5,3,2
87,0,7,4,0
88,0,5,5,0
89,4,0,6,1
810,3,0,4,2
811,4,0,0,0
812,12,0,7,0
813,5,0,9,1
814,2,3,5,0
815,2,2,3,0
91,0,17,4,0
92,3,2,2,0
93,1,3,0,1
94,3,2,4,0
95,2,4,4,0
96,1,4,4,0
97,0,13,5,0
98,0,20,9,2
99,5,0,9,1
910,1,0,7,1
911,0,0,2,2
912,5,0,7,1
913,1,3,1,0
914,0,15,5,0
915,2,5,0,1
101,0,18,7,2
102,2,5,7,0
103,3,5,4,2
104,3,2,9,0
105,1,4,1,2
106,3,5,1,1
107,0,19,1,2
108,0,8,7,2
109,5,0,7,0
1010,4,0,5,0
1011,5,0,1,1
1012,8,0,4,2
1013,9,0,2,0
1014,3,4,8,0
1015,3,5,10,1
111,0,13,3,2
112,1,4,9,2
113,0,3,9,0
114,2,2,10,1
115,2,3,10,2
116,1,3,9,0
117,0,8,1,2
118,0,10,8,1
119,5,0,10,0
1110,2,0,3,2
1111,3,0,5,2
1112,6,0,10,2
1113,3,2,8,0
1114,4,0,7,2
1115,12,0,7,0
121,0,14,0,2
122,2,3,2,2
123,3,3,10,0
124,3,2,1,1
125,0,3,7,2
126,3,5,0,1
127,0,11,9,1
128,0,11,5,0
129,4,0,8,0
1210,2,0,1,2
1211,0,0,1,2
1212,6,0,9,1
1213,0,18,7,0
1214,0,6,5,2
1215,3,3,0,2
131,0,14,9,1
132,2,4,10,0
133,1,4,1,0
134,1,2,3,2
135,3,5,6,2
136,3,3,9,2
137,0,17,9,0
138,0,12,2,0
139,5,0,0,0
1310,1,0,3,2
1311,0,0,4,1
1312,12,0,3,1
1313,0,0,2,1
1314,2,2,3,1
1315,3,3,3,0
141,0,7,4,2
142,2,5,1,2
143,1,3,4,2
144,0,3,9,1
145,0,3,5,1
146,0,3,9,0
147,0,16,8,1
148,0,15,7,1
149,1,0,10,2
1410,4,0,4,1
1411,5,0,0,0
1412,6,0,5,0
1413,2,3,7,0
1414,2,2,3,1
1415,0,2,6,1
151,0,11,0,2
152,3,4,3,0
153,3,4,6,0
154,3,3,0,2
155,3,4,5,0
156,3,3,1,0
157,0,5,5,2
158,0,16,9,0
159,1,0,2,2
1510,4,0,4,1
1511,1,0,5,0
1512,10,0,6,1
1513,0,5,0,0
1514,3,0,0,2
1515,0,4,2,2
161,0,10,10,0
162,0,5,6,1
163,2,4,4,1
164,0,2,5,2
165,2,4,2,1
166,1,2,4,1
167,0,14,9,0
168,0,5,0,1
169,2,0,9,2
1610,5,0,7,1
1611,1,0,7,2
1612,10,0,4,1
1613,3,2,1,2
1614,1,0,5,0
1615,4,0,0,0
171,0,12,10,1
172,3,5,7,0
173,1,4,9,1
174,2,4,10,1
175,3,2,10,2
176,2,4,1,0
177,0,15,4,1
178,0,8,5,0
179,1,0,5,1
1710,2,0,3,2
1711,3,0,10,2
1712,5,0,5,0
1713,5,0,2,2
1714,2,2,8,0
1715,2,5,7,2
181,0,6,3,0
182,0,2,5,0
183,2,4,1,0
184,0,2,0,0
185,3,5,1,1
186,0,4,5,0
187,0,14,2,1
188,0,14,9,2
189,5,0,1,1
1810,4,0,5,1
1811,0,0,9,0
1812,7,0,10,1
1813,5,0,4,1
1814,11,0,2,2
1815,0,14,9,2
191,0,16,1,1
192,3,5,6,0
193,0,2,0,0
194,3,4,0,2
195,2,3,8,0
196,2,3,7,0
197,0,6,5,0
198,0,11,10,2
199,1,0,4,0
1910,0,0,10,1
1911,2,0,0,1
1912,6,0,5,0
1913,10,0,10,0
1914,4,0,0,2
1915,0,16,7,1
201,0,20,10,0
202,0,2,6,1
203,1,3,0,0
204,0,5,10,2
205,3,4,6,2
206,2,4,3,1
207,0,18,5,0
208,0,6,10,2
209,5,0,9,0
2010,5,0,10,1
2011,4,0,1,1
2012,6,0,0,2
2013,4,0,2,0
2014,1,4,6,0
2015,2,3,9,2
211,0,6,1,2
212,2,4,1,1
213,1,5,0,1
214,2,2,7,0
215,3,4,10,1
216,2,4,7,2
